"TYPE","TRAN","LOAN","ACCT","SORT_KEY","DESCRIPTION","TRANS_CD","MODE","POLICY","AGY","LAT","ACCOUNT","AMOUNT","FILLER","RARB_CODE","GTD","APR","STATE","COUNTY","CDT","FILLER2","DDT","KIND_2","KIND_4","FILLER3","ISSUE","SERIES","FILLER4","SOURCE","FILLERS","PFREQ","WHO","FILLER6","DATE","CO_CODE","FILLER7","FILLER8","CONTROL_DATE"
"I"," ","S"," "," ","51446","I PY","0","71974900","028","241208","2899",-126.48," "," ","9","0","31","0","250107"," ","250107","3","0"," ","9900307"," "," ","11MY5"," ","1"," "," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","51446","I PY","0","71974900","028","250107","2005180",126.48," "," ","9","0","31","0","250107"," ","250107","3","0"," ","9900307"," "," ","11MY5"," ","1"," "," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","54030","I PY","0","96490500","040","241208","2899",-162.69," "," ","9","0","41","0","250107"," ","250107","3","0"," ","9950407"," "," ","01MY5"," ","1"," "," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","54030","I PY","0","96490500","040","250107","2005180",162.69," "," ","9","0","41","0","250107"," ","250107","3","0"," ","9950407"," "," ","01MY5"," ","1"," "," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","57718","I PY","0","190550300","087","241208","2899",-1597.93," "," ","7","0","12","0","250107"," ","250107","3","0"," ","50507"," "," ","01DY5"," ","1"," "," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","57718","I PY","0","190550300","087","250107","2005180",1597.93," "," ","7","0","12","0","250107"," ","250107","3","0"," ","50507"," "," ","01DY5"," ","1"," "," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," "," ","E CS","1","241992900","388","0","2900",25608.22," "," ","4","0","14","268","250107"," ","250103","5","96"," ","250103"," "," ","01DN1"," ","1","BTM"," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," "," ","E CS","1","241992900","388","250107","2203051",-25608.22," "," ","4","0","14","268","250107"," ","250103","5","96"," ","250103"," "," ","01DN1"," ","1","BTM"," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","DEC CATCHUP PYMT 57530","E CK","0","268673900","6QX","241119","1601",-584.84," "," ","7","8","38","0","250107"," ","241207","1","0"," ","241107"," "," ","19PY5"," ","1","XXK"," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","DEC CATCHUP PYMT 57530","E CK","0","268673900","6QX","250107","1905030",584.84," "," ","7","8","38","0","250107"," ","241207","1","0"," ","241107"," "," ","19PY5"," ","1","XXK"," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","56999","I PY","0","810082300","011","241208","2899",-398.49," "," ","7","8","56","0","250107"," ","250107","3","0"," ","30607"," "," ","15DY5"," ","1"," "," ","250107","NL"," "," ","20250107"
"I"," ","S"," "," ","56999","I PY","0","810082300","011","250107","2005180",398.49," "," ","7","8","56","0","250107"," ","250107","3","0"," ","30607"," "," ","15DY5"," ","1"," "," ","250107","NL"," "," ","20250107"
